Readys	200	Linux	host	32746
Reconstruction	200	Linux	host	492
Resourced	200	Windows	host	36043
Robust	100	Windows	host	38783
Rookie Mistake	200	Linux	host	40304
Roquefort	200	Linux	host	229
RubyDome	100	Linux	host	50401
RussianDolls	200	Linux	host	187438
SPX	200	Linux	host	185717
Sar	100	Linux	host	124
Scarecrow1.1	200	Linux	host	24
Scarlet	200	Linux	host	40952
Scrutiny	200	Linux	host	182260
Sea	200	Linux	host	213074
Seppuku	100	Linux	host	384
Serialrunning	200	Linux	host	183348
Shakabrah	100	Linux	host	369
Shenzi	200	Windows	host	284
Shiftdel	200	Linux	host	34362
Shifty	300	Linux	host	254
Silicon	200	Linux	host	191980
Sirol	300	Linux	host	279
SkillForge	200	Linux	host	211143
Slort	200	Windows	host	269
Snookums	200	Linux	host	294
SoSimple	200	Linux	host	389
Solstice	100	Linux	host	319
Sona	200	Linux	host	17368
Sorcerer	200	Linux	host	472
Source	200	Linux	host	42973
Spaghetti	200	Linux	host	17378
SpiderSociety	200	Linux	host	208506
Splodge	200	Linux	host	552
SpringAuth_attack	200	Linux	host	216390
Squid	100	Windows	host	38173
Stapler	200	Linux	host	15769
SugarVale	200	Linux	host	246565
Sumo	100	Linux	host	329
SunsetDecoy	100	Linux	host	419
SunsetMidnight	200	Linux	host	394
SunsetNoontide	100	Linux	host	547
SunsetTwilight	100	Linux	host	404
Surf	200	Linux	host	29929
Sybaris	200	Linux	host	430
Symbolic	200	Windows	host	38080
Synapse	300	Linux	host	15775
Ted	300	Linux	host	39
Thor	300	Linux	host	39638
Tico	300	Linux	host	7963
Tre	200	Linux	host	354
Trusted Trouble	300		download	219170
Truth Restored	200		download	243542
Tutorial	100		download	218749
Tutorial	100		download	241363
Tux	200	Linux	host	245238
Twiggy	100	Linux	host	244
UC404	200	Linux	host	482
USV2017	200	Linux	host	79
Upsploit	300	Linux	host	43701
Validator	200	Linux	host	49063
Vanity	200	Linux	host	42542
Vault	300	Windows	host	33015
Vector	300	Windows	host	564
Vegeta1	100	Linux	host	314
VoIP	200	Linux	host	17331
Walla	200	Linux	host	619
WallpaperHub	200	Linux	host	192392
Wheels	100	Linux	host	38793
Wombo	100	Linux	host	219
Wpwn	100	Linux	host	542
XposedAPI	200	Linux	host	624
Y0usef	200	Linux	host	644
Zab	200	Linux	host	207758
ZenPhoto	200	Linux	host	174
Zino	200	Linux	host	234
Zipper	300	Linux	host	42231
bullyBox	200	Linux	host	52203
cacti	200	Linux	host	192657
carryover	200	Linux	host	188659
dev_working	200	Linux	host	192634
filebrowser	200	Linux	host	213910
flink	200	Linux	host	213582
flow	200	Linux	host	185281
image	200	Linux	host	52183
law	200	Linux	host	52188
midnight	200	Windows	host	150740
nara	200	Windows	host	52218
pc	200	Linux	host	52193
plum	200	Linux	host	52208
press	200	Linux	host	52213
pyLoader	200	Linux	host	52198
sshcontrol	200	Linux	host	214566
vmdak	200	Linux	host	185278
workaholic	200	Linux	host	211082
